Year,Month,Day,Pressure (hPa),Temperature (oC),Dew Point Temp (oC),Relative Humidity (%),Wind Speed(m/s),wind direction(deg),Soil Moisture (kg m-2) at 10 cm depth
1980,1,1,1010.566667,24.33333333,13.8,49.6729121,2.06,136,17.96149722
1980,1,2,1010.8,23,15.8,66.38882175,3,158,17.94341946
1980,1,3,1010.1375,24.5,14.5,56.07577078,3.242857143,111.4285714,17.74894998
1980,1,4,1011.614286,23.57142857,15,60.46272206,4.95,101.6666667,17.5570473
1980,1,5,1012.72,23.16666667,15.16666667,62.79145969,4.383333333,86.66666667,17.38378889
1980,1,6,1012.866667,23,16.57142857,67.62625218,3.85,86.25,17.21713056
1980,1,7,1012.5,22,16.75,74.01295619,3.2,91.25,17.05637226
1980,1,8,1011.95,22.71428571,14.85714286,62.2689483,3.25,71.66666667,16.90786668
1980,1,9,1012.95,21,14.71428571,69.74038473,3.35,115,16.76033059
1980,1,10,1011.45,23.28571429,12.71428571,53.32636613,3.5,104,16.60643611
1980,1,11,1011.7875,23.25,13.5,56.59566176,4.183333333,128.3333333,16.51251944
1980,1,12,1010.4,23.8,13.8,55.09530439,3.5,118,16.43629724
1980,1,13,1012.633333,23.14285714,12.28571429,53.06136462,3.766666667,103.3333333,16.30639445
1980,1,14,1012,21.57142857,11.28571429,56.76329396,2.566666667,115,16.18796386
1980,1,15,1011.75,22.5,12.25,55.59554904,3.5875,116.25,16.08424169
1980,1,16,1011.3,22.75,12.625,56.93488685,3.025,130,15.98440279
1980,1,17,1011.3,22.25,10.375,51.44785732,4.375,117.5,15.87497225
1980,1,18,1012.65,21.875,12.57142857,60.16566054,4.183333333,108.3333333,15.75826391
1980,1,19,1013.85,22,11.75,57.4001789,4.6,125,15.64549443
1980,1,20,1012.5,22.75,11.125,52.10970285,2.9,104,15.54809724
1980,1,21,1011.4,23.875,11,47.04663159,2.85,140,15.44778611
1980,1,22,1011.7,24.42857143,11,44.78478573,1.7,150,15.35506388
1980,1,23,1011.128571,24.14285714,12.57142857,49.84343725,2.38,198,15.26102224
1980,1,24,1011.1625,24.375,11.875,48.12157483,2.7,134,15.53470282
1980,1,25,1011.466667,24.5,12.16666667,48.07252517,3.78,120,15.82474997
1980,1,26,1010.766667,23.85714286,13.28571429,54.554332,2.933333333,120,15.69558057
1980,1,27,1009.425,25.25,13.25,49.13882662,2.414285714,158.5714286,15.57847222
1980,1,28,1007.871429,25.85714286,10.57142857,40.2259826,4.2,301.6666667,15.45713057
1980,1,29,1008.9125,23.28571429,10.42857143,45.86513126,3.371428571,261.4285714,15.34133334
1980,1,30,1009.842857,22.71428571,10.42857143,47.53632221,3.28,136,15.22515835
