,Year,Month,Day,Pressure (hPa),Temperature (oC),Dew Point Temp (oC),Relative Humidity (%),Wind Speed(m/s),wind direction(deg),Soil Moisture (kg m-2) at 10 cm depth,Rainfall (mm),PETo,AETo
0,2019,1,1,1007.7873283070422,21.92941176,8.308571429,46.15412195,2.35,107.8571429,16.25933888,8.8,2.213120425884487,2.080266370243411
1,2019,1,2,1007.7873283070422,22.45641026,9.976923077,49.51626596,1.465,121.5384615,16.02463339,79.8,1.4455240326563314,1.4390024926633598
2,2019,1,3,1007.7873283070422,23.54,12.3975,53.71626346,1.361904762,168.66666669999995,15.79142776,138.6,1.2999768626361818,1.2969345785599404
3,2019,1,4,1007.7873283070422,22.98235294,13.61176471,58.57870465,2.341666667,120.0,15.56933888,2.0,1.8454910959713842,1.329363013046315
4,2019,1,5,1013.55,24.0125,14.509375,58.47052748,1.98,140.0,15.39338058,0.0,1.6619916324637196,0.0
5,2019,1,6,1012.15,23.81714286,15.68857143,62.45639861,2.076666667,131.5,15.24299443,0.0,1.5906115992430154,0.0
6,2019,1,7,1012.466667,23.97435897,14.42564103,57.92517542,2.017391304,101.5384615,15.10164722,0.0,1.7167845187335797,0.0
7,2019,1,8,1012.05,22.4,11.57631579,54.43144262,2.034782609,49.23076923,14.9279249,0.0,1.7439199645046426,0.0
8,2019,1,9,1011.75,22.61081081,8.624324324,45.78132418,1.825,99.28571429,14.75453878,0.0,1.8322485487289535,0.0
9,2019,1,10,1011.7,22.81052632,12.12105263,53.34736522,1.916666667,129.3333333,14.59720264,0.0,1.7704875985835635,0.0
10,2019,1,11,1012.2,23.97714286,16.28285714,64.4447042,2.18,126.0,14.51087213,0.0,1.570854690252161,0.0
11,2019,1,12,1012.1,24.5,17.56388889,67.05736829,2.259375,124.5833333,14.45207764,0.0,1.536090875576141,0.0
12,2019,1,13,1012.45,25.02285714,16.49714286,61.4063829,2.24137931,122.7272727,14.34933322,0.0,1.7848900435423152,0.0
13,2019,1,14,1012.45,24.78235294,15.33235294,58.21598242,2.09,116.0,14.24621098,0.0,1.799361808183667,0.0
14,2019,1,15,1012.65,24.35294118,15.3,59.69889619,2.341666667,85.26315789,14.1257221,0.0,1.88121070944323,0.0
15,2019,1,16,1012.3,24.31578947,13.64324324,55.07828185,1.21875,99.33333333,14.00199988,0.0,1.1841038517407254,0.0
16,2019,1,17,1012.175,24.28888889,14.61666667,58.75524317,1.125,170.0,13.90599157,0.0,1.0185799152177168,0.0
17,2019,1,18,1011.35,24.78333333,14.33333333,56.00697001,1.9,115.7142857,13.83353874,0.0,1.7050609404676906,0.0
18,2019,1,19,1013.35,24.43243243,15.01891892,58.04507378,1.7576923080000002,132.5,13.74378876,0.0,1.5596373214741106,0.0
